"conflict_name","N","alpha","xmin","p","tail"
"JSS/SB - Civilians",54,3.66558796233962,5.24,0.425,21.68
"Juarez Cartel - Sinaloa Cartel",389,2.99648839003021,5.139,0.056,109.03
"Kalenjin - Kikuyu",35,4.20614479955906,4.575,0.617,14.586
"Kashmir insurgents - Civilians",1248,2.18129267675141,1.049,0,1213.237
"KDP - PKK",31,2.30413813696423,6.665,0.256,20.389
"Kenya: Northeastern Province and Coast",32,4.28162470350045,3.274,0.36,16.414
"KR - Civilians",47,2.29280480382668,9.184,0.704,22.905
"Lashkar-e-Islam - Lashkar of Zakakhel tribe",49,4.06044324895014,5.167,0.26,20.83
"Lebanon:Government",127,2.44929209467508,5.651,0.799,51.437
"LeJ - Civilians",53,2.5359440234641,17.645,0.423,23.435
"Liberia:Government",97,1.81669519929904,3.604,0.052,58.945
"Libya:Government",218,2.83380183832809,16.126,0.931,52.927
"Libya: Islamic State",105,2.84010698272857,13.645,0.433,35.431
"Los Zetas - Sinaloa Cartel",54,2.68487067749454,4.363,0.589,27.575
"LPC - Civilians",52,1.90315184089525,12.018,0.979,27.828
"LRA - Civilians",761,2.25877510580869,8.445,0.54,175.296
"LTTE - Civilians",178,2.52510533447873,17.183,0.237,50.421
"LTTE - LTTE - K",52,2.72632757947791,3.703,0.362,26.437
"Mali:Azawad",58,2.2912666847602,8.428,0.301,27.725
"Mali:Government",147,1.69846349159197,2.579,0,96.463
"Mayi Mayi - Civilians",36,1.57986803888923,1.39,0.055,33.618
"Mayi Mayi - RCD",37,2.56271632689986,14.227,0.321,17.589
"MCC - Civilians",43,2.50274737336932,2.294,0.666,28.564
"MFDC - Civilians",83,2.7241509182923,3.82,0.443,35.02
"MILF - Civilians",59,2.4490499841855,3.926,0.744,31.503
"Mohajir - Sindhi",48,2.1067014366996,3.339,0.364,31.732
"Moldova:Dniestr",67,2.35642926158665,2.279,0.035,42.536
"Mozambique:Government",70,2.37685943834255,9.365,0.087,30.948
"MQM - MQM-H",48,4.49913923292369,5.766,0.638,16.517
"Myanmar (Burma):Kachin",153,2.19440604583036,3.268,0.252,77.575
"Myanmar (Burma):Karen",314,2.01163456353865,4.045,0.597,133.488
"Myanmar (Burma):Karenni",54,2.98875267044633,5.21,0.44,23.678
"Myanmar (Burma):Kokang",44,2.94865868463645,4.706,0.315,22.158
"Myanmar (Burma):Palaung",41,2.66505059644026,2.288,0.794,31.206
"Myanmar (Burma):Shan",146,2.5291459881461,7.006,0.571,48.605
"NDFB - Civilians",106,2.93786964371052,7.349,0.865,34.605
"NDFB-S - Civilians",31,2.35546187422471,2.319,0.359,21.835
"Nepal:Government",3243,2.3403792475925,3.214,0.332,820.426
"Niger:Government",40,2.4130164602593,3.224,0.21,23.299
"Nigeria:Government",511,2.31596878031103,31.987,0.293,152.182
"Nigeria: Islamic State",287,2.34060230114731,14.401,0.317,111.329
"NLFT - Civilians",130,3.94581787912608,5.232,0.457,34.329
"NPFL - Civilians",126,1.51308952644315,2.99,0.399,96.591
"NSCN-IM - Civilians",47,2.69517954633726,8.239,0.328,21.661
"NSCN-IM - NSCN-K",150,2.84751546781667,2.276,0.743,79.332
"NSCN-K - NSCN-K-K",44,2.5284955643918,1.0751503006012,0.02,42.1603206412826
"Opponents of Morsi - Supporters of Morsi",51,2.12174017484622,1.121,0.814,48.482
"Pakistan:Balochistan",227,2.42857051026837,4.969,0.213,84.743
"Pakistan:Government",3450,3.95254509738415,25.542,0.433,262.173
"Palipehutu-FNL - Civilians",96,2.42777820096592,2.883,0.882,50.49
"Papua New Guinea:Bougainville",67,1.76545351767965,1.168,0.002,63.629
"Patani insurgents - Civilians",1359,3.53767173191481,1.801,0.255,513.03
"Peru:Government",588,3.26703566967646,17.911,0.865,98.822
"Philippines:Government",1416,2.95985158490184,8.187,0.049,190.068
"Philippines:Mindanao",931,2.95545682738322,11.558,0.569,155.799
"PIJ - Civilians",45,2.04059135920185,2.186,0.071,30.644
"PKK - Civilians",287,2.80955528856483,4.947,0.358,94.511
"PLFI - Civilians",57,3.58071425203351,1.4571129707113,0.969,40.5366108786611
"Pokot - Turkana",65,2.64447976744179,5.022,0.326,28.811
"PWG - Civilians",53,2.25359009393023,1.092,0.564,50.787
"RCD - Civilians",100,1.86915434371257,11.491,0.034,65.723
"Renamo - Civilians",101,2.68532239446693,13.313,0.187,36.543
"Republic of Croatia - SAO Krajina",40,1.97884638860393,1.134,0.266,38.065
"RRA - RRA - MH",39,3.54824470911728,6.453,0.141,20.835
"RRA - USC/SNA",30,1.85916671258975,4.201,0.007,25.162
"RUF - Civilians",490,1.79059183747749,2.398,0.003,356.395
"Russia:Islamic State",36,2.79121697282703,2.956,0.811,19.181
"Russia (Soviet Union):Caucasus Emirate",1120,3.17045887337621,4.148,0.285,208.829
"Russia (Soviet Union):Chechnya",1425,2.05116444809064,4.676,0.023,472.34
"Rwanda:Government",255,2.27455122788721,26.24,0.528,74.137
"Sendero Luminoso - Civilians",139,2.01141577084903,2.353,0.387,79.303
"Senegal:Casamance",152,1.79507405986641,2.478,0.262,93.736
"Serbian irregulars, Serbian Republic of Bosnia-Herzegovina - Civilians",159,1.78712260265395,2.356,0.029,99.291
"Serbia (Yugoslavia):Croatia",203,2.30050387780657,5.922,0.482,72.214
"Serbia (Yugoslavia):Kosovo",229,1.9546909129987,2.412,0.559,129.624
"Sierra Leone:Government",507,2.65094668828469,39.764,0.117,96.536
"Sikh insurgents - Civilians",167,2.67102915725128,6.624,0.684,76.845
"Sinaloa Cartel - Sinaloa Cartel - Forces of Damaso faction",30,2.71721825234481,1.04963805584281,0.658,29.2812823164426
"Sinaloa Cartel - Tijuana Cartel",70,2.75029983565215,1.65,0.52,46.09
"Somalia:Government",2449,3.0148117730818,21.289,0.859,166.346
"South Sudan:Government",95,1.5701991790138,2.806,0.015,76.58
"Spain:Basque",142,2.6979936862765,1.031,0.355,139.038
"SPLM/A - Civilians",45,1.60307652488322,2.838,0.201,35.774
"Sri Lanka (Ceylon):Eelam",3700,2.49856487154186,34.686,0.153,336.274
"Sri Lanka (Ceylon):Government",101,4.15930621124274,4.995,0.5,31.284
"Sudan:Government",1077,1.82510702902295,19.251,0,336.14
"Supporters of ANC - Supporters of IFP",1555,2.94380668574851,1.005,0,1548.628
"Supporters of ANPP - Supporters of PDP",39,1.62947491472961,1.32,0.629,36.266
"Supporters of Awami League - Supporters of BNP",99,3.14540586347133,1.471,0.815,78.645
"Supporters of Awami League - Supporters of Jamaat-e-Islami",36,3.05517777707457,1.42174796747967,0.348,27.0121951219512
"Supporters of Didier Ratsiraka - Supporters of Marc Ravalomanana",32,2.75557048874313,2.033,0.857,19.896
"Supporters of IFP - Supporters of UDF",116,2.78775373503647,1.025,0.015,113.92
"Tajikistan:Government",188,2.38929370888445,13.657,0.635,73.732
"Taleban - Civilians",567,2.47401131073222,3.54,0.191,166.008
"Thailand:Patani",1108,3.09561134841145,2.071,0.045,322.056
"Tijuana Cartel - Tijuana Cartel - El Teo faction",51,3.44618747805222,4.844,0.731,20.961
"TTP - Civilians",321,1.79054902450836,2.325,0.103,188.023
"Turkey:Government",74,2.0890091955906,2.288,0.147,46.32
"Turkey:Kurdistan",3755,2.8175212254119,10.953,0.009,450.747
"UDA - Civilians",82,3.61881718258752,1.00108342361863,0.093,81.9284940411701
"Uganda:Government",1050,2.52516895982819,12.811,0.303,181.694
"Ukraine:Donetsk",104,2.38390727855795,9.098,0.394,37.187
"Ukraine:Lugansk",31,2.3033978539597,4.345,0.723,18.462
"Ukraine:Novorossiya",449,2.47748341129634,3.29,0.232,147.165
"ULFA - Civilians",184,2.18883120249177,2.129,0.097,97.064
"ULIMO - K - Civilians",32,1.86567437502248,4.452,0.426,21.263
"UNITA - Civilians",177,2.1299447348738,8.06,0.477,75.775
"United Kingdom:Northern Ireland",108,2.70959365705377,1.037,0.941,105.259
"United States of America:Government",442,2.27436642247663,7.5,0.736,214.264
"USC/SNA - USC/SNA - OA",45,4.45194753809417,8.436,0.653,16.159
"Uzbekistan:Government",47,2.65255587231496,8.019,0.721,21.544
"Yemen (North Yemen):Government",1306,2.67921060949802,13.475,0.002,305.566
"Yemen (North Yemen):South Yemen",46,2.84652056618305,13.038,0.051,20.648
